cohort,stat,config,cluster
soph_Forward,PTS,bottom_bottom_fast_away_sixth_last20,2
soph_Forward,PTS,bottom_bottom_fast_away_spot_early,2
soph_Forward,PTS,bottom_bottom_fast_away_spot_last20,2
soph_Forward,PTS,bottom_bottom_fast_away_spot_post_AS,2
soph_Forward,PTS,bottom_bottom_fast_home_sixth_post_AS,2
soph_Forward,PTS,bottom_bottom_fast_home_spot_last20,2
soph_Forward,PTS,bottom_bottom_medium_home_sixth_early,2
soph_Forward,PTS,bottom_bottom_medium_home_spot_early,2
soph_Forward,PTS,bottom_bottom_medium_home_spot_last20,2
soph_Forward,PTS,bottom_bottom_slow_home_spot_early,2
soph_Forward,PTS,high_mid_fast_away_sixth_early,2
soph_Forward,PTS,high_mid_fast_away_spot_early,2
soph_Forward,PTS,high_mid_fast_home_spot_early,2
soph_Forward,PTS,high_mid_medium_away_sixth_early,2
soph_Forward,PTS,high_mid_medium_away_spot_early,1
soph_Forward,PTS,high_top_fast_away_sixth_early,2
soph_Forward,PTS,high_top_slow_away_spot_early,2
soph_Forward,PTS,high_top_slow_home_sixth_last20,2
soph_Forward,PTS,high_top_slow_home_spot_last20,2
soph_Forward,PTS,mid_bottom_fast_away_sixth_early,2
soph_Forward,PTS,mid_bottom_fast_away_sixth_last20,2
soph_Forward,PTS,mid_bottom_medium_home_starter_last20,2
soph_Forward,PTS,mid_bottom_slow_home_spot_early,2
soph_Forward,PTS,mid_bottom_slow_home_spot_last20,2
soph_Forward,PTS,mid_mid_medium_away_spot_early,2
soph_Forward,PTS,mid_top_fast_home_sixth_last20,2
soph_Forward,PTS,top_mid_slow_away_spot_early,2
soph_Forward,PTS,top_top_fast_away_spot_early,2
soph_Forward,PTS,top_top_medium_away_sixth_early,2
soph_Forward,PTS,top_top_medium_away_sixth_last20,2
soph_Forward,PTS,top_top_medium_away_spot_last20,2
soph_Forward,PTS,top_top_medium_away_spot_post_AS,2
soph_Forward,PTS,top_top_medium_away_starter_early,2
soph_Forward,PTS,top_top_medium_home_sixth_early,2
soph_Forward,PTS,top_top_medium_home_sixth_last20,2
soph_Forward,PTS,top_top_medium_home_spot_early,2
soph_Forward,PTS,top_top_medium_home_spot_last20,1
soph_Forward,PTS,top_top_medium_home_starter_last20,2
soph_Forward,PTS,top_top_slow_away_sixth_early,2
soph_Forward,PTS,top_top_slow_away_sixth_last20,1
soph_Forward,PTS,top_top_slow_away_spot_early,2
soph_Forward,PTS,top_top_slow_away_spot_last20,2
soph_Forward,PTS,top_top_slow_home_sixth_early,2
soph_Forward,PTS,top_top_slow_home_sixth_last20,2
soph_Forward,PTS,top_top_slow_home_spot_early,2
soph_Forward,PTS,top_top_slow_home_spot_post_AS,2
soph_Forward,REB,bottom_bottom_fast_away_sixth_last20,2
soph_Forward,REB,bottom_bottom_fast_away_spot_early,2
soph_Forward,REB,bottom_bottom_fast_away_spot_last20,2
soph_Forward,REB,bottom_bottom_fast_away_spot_post_AS,2
soph_Forward,REB,bottom_bottom_fast_home_sixth_post_AS,2
soph_Forward,REB,bottom_bottom_fast_home_spot_last20,2
soph_Forward,REB,bottom_bottom_medium_home_sixth_early,2
soph_Forward,REB,bottom_bottom_medium_home_spot_early,2
soph_Forward,REB,bottom_bottom_medium_home_spot_last20,2
soph_Forward,REB,bottom_bottom_slow_home_spot_early,2
soph_Forward,REB,high_mid_fast_away_sixth_early,2
soph_Forward,REB,high_mid_fast_away_spot_early,2
soph_Forward,REB,high_mid_fast_home_spot_early,1
soph_Forward,REB,high_mid_medium_away_sixth_early,1
soph_Forward,REB,high_mid_medium_away_spot_early,2
soph_Forward,REB,high_top_fast_away_sixth_early,2
soph_Forward,REB,high_top_slow_away_spot_early,2
soph_Forward,REB,high_top_slow_home_sixth_last20,2
soph_Forward,REB,high_top_slow_home_spot_last20,2
soph_Forward,REB,mid_bottom_fast_away_sixth_early,2
soph_Forward,REB,mid_bottom_fast_away_sixth_last20,1
soph_Forward,REB,mid_bottom_medium_home_starter_last20,1
soph_Forward,REB,mid_bottom_slow_home_spot_early,2
soph_Forward,REB,mid_bottom_slow_home_spot_last20,2
soph_Forward,REB,mid_mid_medium_away_spot_early,2
soph_Forward,REB,mid_top_fast_home_sixth_last20,2
soph_Forward,REB,top_mid_slow_away_spot_early,2
soph_Forward,REB,top_top_fast_away_spot_early,2
soph_Forward,REB,top_top_medium_away_sixth_early,2
soph_Forward,REB,top_top_medium_away_sixth_last20,1
soph_Forward,REB,top_top_medium_away_spot_last20,2
soph_Forward,REB,top_top_medium_away_spot_post_AS,2
soph_Forward,REB,top_top_medium_away_starter_early,1
soph_Forward,REB,top_top_medium_home_sixth_early,2
soph_Forward,REB,top_top_medium_home_sixth_last20,2
soph_Forward,REB,top_top_medium_home_spot_early,2
soph_Forward,REB,top_top_medium_home_spot_last20,2
soph_Forward,REB,top_top_medium_home_starter_last20,2
soph_Forward,REB,top_top_slow_away_sixth_early,1
soph_Forward,REB,top_top_slow_away_sixth_last20,2
soph_Forward,REB,top_top_slow_away_spot_early,2
soph_Forward,REB,top_top_slow_away_spot_last20,2
soph_Forward,REB,top_top_slow_home_sixth_early,2
soph_Forward,REB,top_top_slow_home_sixth_last20,1
soph_Forward,REB,top_top_slow_home_spot_early,2
soph_Forward,REB,top_top_slow_home_spot_post_AS,2
soph_Forward,AST,bottom_bottom_fast_away_sixth_last20,2
soph_Forward,AST,bottom_bottom_fast_away_spot_early,2
soph_Forward,AST,bottom_bottom_fast_away_spot_last20,2
soph_Forward,AST,bottom_bottom_fast_away_spot_post_AS,2
soph_Forward,AST,bottom_bottom_fast_home_sixth_post_AS,2
soph_Forward,AST,bottom_bottom_fast_home_spot_last20,1
soph_Forward,AST,bottom_bottom_medium_home_sixth_early,2
soph_Forward,AST,bottom_bottom_medium_home_spot_early,2
soph_Forward,AST,bottom_bottom_medium_home_spot_last20,2
soph_Forward,AST,bottom_bottom_slow_home_spot_early,2
soph_Forward,AST,high_mid_fast_away_sixth_early,2
soph_Forward,AST,high_mid_fast_away_spot_early,2
soph_Forward,AST,high_mid_fast_home_spot_early,2
soph_Forward,AST,high_mid_medium_away_sixth_early,2
soph_Forward,AST,high_mid_medium_away_spot_early,2
soph_Forward,AST,high_top_fast_away_sixth_early,2
soph_Forward,AST,high_top_slow_away_spot_early,2
soph_Forward,AST,high_top_slow_home_sixth_last20,2
soph_Forward,AST,high_top_slow_home_spot_last20,2
soph_Forward,AST,mid_bottom_fast_away_sixth_early,2
soph_Forward,AST,mid_bottom_fast_away_sixth_last20,1
soph_Forward,AST,mid_bottom_medium_home_starter_last20,2
soph_Forward,AST,mid_bottom_slow_home_spot_early,2
soph_Forward,AST,mid_bottom_slow_home_spot_last20,2
soph_Forward,AST,mid_mid_medium_away_spot_early,2
soph_Forward,AST,mid_top_fast_home_sixth_last20,2
soph_Forward,AST,top_mid_slow_away_spot_early,2
soph_Forward,AST,top_top_fast_away_spot_early,2
soph_Forward,AST,top_top_medium_away_sixth_early,2
soph_Forward,AST,top_top_medium_away_sixth_last20,1
soph_Forward,AST,top_top_medium_away_spot_last20,2
soph_Forward,AST,top_top_medium_away_spot_post_AS,2
soph_Forward,AST,top_top_medium_away_starter_early,2
soph_Forward,AST,top_top_medium_home_sixth_early,2
soph_Forward,AST,top_top_medium_home_sixth_last20,2
soph_Forward,AST,top_top_medium_home_spot_early,2
soph_Forward,AST,top_top_medium_home_spot_last20,2
soph_Forward,AST,top_top_medium_home_starter_last20,1
soph_Forward,AST,top_top_slow_away_sixth_early,2
soph_Forward,AST,top_top_slow_away_sixth_last20,1
soph_Forward,AST,top_top_slow_away_spot_early,2
soph_Forward,AST,top_top_slow_away_spot_last20,2
soph_Forward,AST,top_top_slow_home_sixth_early,2
soph_Forward,AST,top_top_slow_home_sixth_last20,2
soph_Forward,AST,top_top_slow_home_spot_early,2
soph_Forward,AST,top_top_slow_home_spot_post_AS,2
soph_Guard,PTS,bottom_bottom_fast_away_sixth_early,2
soph_Guard,PTS,bottom_bottom_fast_away_spot_early,2
soph_Guard,PTS,bottom_bottom_fast_home_sixth_early,2
soph_Guard,PTS,bottom_bottom_fast_home_sixth_last20,2
soph_Guard,PTS,bottom_bottom_fast_home_spot_last20,2
soph_Guard,PTS,bottom_bottom_medium_away_sixth_last20,2
soph_Guard,PTS,bottom_bottom_medium_away_spot_early,2
soph_Guard,PTS,bottom_bottom_medium_home_sixth_early,2
soph_Guard,PTS,bottom_bottom_medium_home_sixth_last20,2
soph_Guard,PTS,bottom_bottom_medium_home_spot_early,2
soph_Guard,PTS,bottom_bottom_medium_home_spot_last20,2
soph_Guard,PTS,bottom_bottom_slow_away_spot_last20,2
soph_Guard,PTS,bottom_bottom_slow_home_spot_early,2
soph_Guard,PTS,bottom_top_fast_home_sixth_early,2
soph_Guard,PTS,bottom_top_fast_home_spot_early,2
soph_Guard,PTS,bottom_top_slow_away_sixth_early,1
soph_Guard,PTS,high_mid_fast_home_sixth_early,2
soph_Guard,PTS,high_mid_fast_home_spot_early,2
soph_Guard,PTS,high_mid_medium_away_spot_early,2
soph_Guard,PTS,high_mid_medium_away_starter_early,2
soph_Guard,PTS,high_mid_medium_home_spot_last20,2
soph_Guard,PTS,high_top_fast_away_sixth_early,2
soph_Guard,PTS,high_top_fast_away_spot_early,2
soph_Guard,PTS,high_top_medium_home_sixth_early,2
soph_Guard,PTS,high_top_slow_away_sixth_last20,2
soph_Guard,PTS,high_top_slow_away_spot_early,2
soph_Guard,PTS,high_top_slow_home_sixth_early,2
soph_Guard,PTS,high_top_slow_home_sixth_last20,2
soph_Guard,PTS,high_top_slow_home_spot_early,2
soph_Guard,PTS,mid_bottom_fast_away_sixth_last20,2
soph_Guard,PTS,mid_bottom_fast_away_spot_last20,2
soph_Guard,PTS,mid_bottom_fast_home_sixth_early,2
soph_Guard,PTS,mid_bottom_fast_home_sixth_last20,2
soph_Guard,PTS,mid_bottom_medium_away_sixth_early,2
soph_Guard,PTS,mid_bottom_medium_away_starter_early,2
soph_Guard,PTS,mid_bottom_slow_away_spot_early,2
soph_Guard,PTS,mid_bottom_slow_home_spot_early,2
soph_Guard,PTS,mid_mid_fast_home_sixth_early,2
soph_Guard,PTS,mid_mid_medium_away_spot_early,2
soph_Guard,PTS,top_mid_fast_home_sixth_early,2
soph_Guard,PTS,top_mid_medium_away_sixth_early,2
soph_Guard,PTS,top_top_fast_away_sixth_early,2
soph_Guard,PTS,top_top_fast_home_sixth_early,2
soph_Guard,PTS,top_top_fast_home_spot_early,2
soph_Guard,PTS,top_top_fast_home_starter_early,1
soph_Guard,PTS,top_top_medium_away_sixth_early,2
soph_Guard,PTS,top_top_medium_away_spot_early,2
soph_Guard,PTS,top_top_medium_away_spot_last20,1
soph_Guard,PTS,top_top_medium_away_starter_early,2
soph_Guard,PTS,top_top_medium_home_sixth_early,2
soph_Guard,PTS,top_top_medium_home_sixth_last20,2
soph_Guard,PTS,top_top_medium_home_spot_early,2
soph_Guard,PTS,top_top_medium_home_spot_last20,2
soph_Guard,PTS,top_top_medium_home_starter_early,2
soph_Guard,PTS,top_top_medium_home_starter_last20,2
soph_Guard,PTS,top_top_slow_away_sixth_early,2
soph_Guard,PTS,top_top_slow_away_sixth_last20,2
soph_Guard,PTS,top_top_slow_away_spot_early,2
soph_Guard,PTS,top_top_slow_away_starter_early,2
soph_Guard,PTS,top_top_slow_home_sixth_early,2
soph_Guard,PTS,top_top_slow_home_sixth_last20,2
soph_Guard,PTS,top_top_slow_home_spot_early,2
soph_Guard,PTS,top_top_slow_home_spot_last20,2
soph_Guard,PTS,top_top_slow_home_starter_early,2
soph_Guard,PTS,top_top_slow_home_starter_post_AS,2
soph_Guard,REB,bottom_bottom_fast_away_sixth_early,2
soph_Guard,REB,bottom_bottom_fast_away_spot_early,2
soph_Guard,REB,bottom_bottom_fast_home_sixth_early,2
soph_Guard,REB,bottom_bottom_fast_home_sixth_last20,2
soph_Guard,REB,bottom_bottom_fast_home_spot_last20,2
soph_Guard,REB,bottom_bottom_medium_away_sixth_last20,2
soph_Guard,REB,bottom_bottom_medium_away_spot_early,2
soph_Guard,REB,bottom_bottom_medium_home_sixth_early,2
soph_Guard,REB,bottom_bottom_medium_home_sixth_last20,2
soph_Guard,REB,bottom_bottom_medium_home_spot_early,2
soph_Guard,REB,bottom_bottom_medium_home_spot_last20,2
soph_Guard,REB,bottom_bottom_slow_away_spot_last20,2
soph_Guard,REB,bottom_bottom_slow_home_spot_early,2
soph_Guard,REB,bottom_top_fast_home_sixth_early,2
soph_Guard,REB,bottom_top_fast_home_spot_early,2
soph_Guard,REB,bottom_top_slow_away_sixth_early,2
soph_Guard,REB,high_mid_fast_home_sixth_early,2
soph_Guard,REB,high_mid_fast_home_spot_early,2
soph_Guard,REB,high_mid_medium_away_spot_early,2
soph_Guard,REB,high_mid_medium_away_starter_early,2
soph_Guard,REB,high_mid_medium_home_spot_last20,2
soph_Guard,REB,high_top_fast_away_sixth_early,2
soph_Guard,REB,high_top_fast_away_spot_early,2
soph_Guard,REB,high_top_medium_home_sixth_early,2
soph_Guard,REB,high_top_slow_away_sixth_last20,2
soph_Guard,REB,high_top_slow_away_spot_early,2
soph_Guard,REB,high_top_slow_home_sixth_early,1
soph_Guard,REB,high_top_slow_home_sixth_last20,2
soph_Guard,REB,high_top_slow_home_spot_early,2
soph_Guard,REB,mid_bottom_fast_away_sixth_last20,2
soph_Guard,REB,mid_bottom_fast_away_spot_last20,2
soph_Guard,REB,mid_bottom_fast_home_sixth_early,2
soph_Guard,REB,mid_bottom_fast_home_sixth_last20,2
soph_Guard,REB,mid_bottom_medium_away_sixth_early,2
soph_Guard,REB,mid_bottom_medium_away_starter_early,2
soph_Guard,REB,mid_bottom_slow_away_spot_early,2
soph_Guard,REB,mid_bottom_slow_home_spot_early,2
soph_Guard,REB,mid_mid_fast_home_sixth_early,2
soph_Guard,REB,mid_mid_medium_away_spot_early,2
soph_Guard,REB,top_mid_fast_home_sixth_early,2
soph_Guard,REB,top_mid_medium_away_sixth_early,2
soph_Guard,REB,top_top_fast_away_sixth_early,2
soph_Guard,REB,top_top_fast_home_sixth_early,2
soph_Guard,REB,top_top_fast_home_spot_early,2
soph_Guard,REB,top_top_fast_home_starter_early,2
soph_Guard,REB,top_top_medium_away_sixth_early,2
soph_Guard,REB,top_top_medium_away_spot_early,2
soph_Guard,REB,top_top_medium_away_spot_last20,2
soph_Guard,REB,top_top_medium_away_starter_early,2
soph_Guard,REB,top_top_medium_home_sixth_early,2
soph_Guard,REB,top_top_medium_home_sixth_last20,2
soph_Guard,REB,top_top_medium_home_spot_early,2
soph_Guard,REB,top_top_medium_home_spot_last20,2
soph_Guard,REB,top_top_medium_home_starter_early,2
soph_Guard,REB,top_top_medium_home_starter_last20,2
soph_Guard,REB,top_top_slow_away_sixth_early,2
soph_Guard,REB,top_top_slow_away_sixth_last20,2
soph_Guard,REB,top_top_slow_away_spot_early,2
soph_Guard,REB,top_top_slow_away_starter_early,1
soph_Guard,REB,top_top_slow_home_sixth_early,2
soph_Guard,REB,top_top_slow_home_sixth_last20,2
soph_Guard,REB,top_top_slow_home_spot_early,2
soph_Guard,REB,top_top_slow_home_spot_last20,2
soph_Guard,REB,top_top_slow_home_starter_early,2
soph_Guard,REB,top_top_slow_home_starter_post_AS,2
soph_Guard,AST,bottom_bottom_fast_away_sixth_early,2
soph_Guard,AST,bottom_bottom_fast_away_spot_early,2
soph_Guard,AST,bottom_bottom_fast_home_sixth_early,2
soph_Guard,AST,bottom_bottom_fast_home_sixth_last20,2
soph_Guard,AST,bottom_bottom_fast_home_spot_last20,2
soph_Guard,AST,bottom_bottom_medium_away_sixth_last20,2
soph_Guard,AST,bottom_bottom_medium_away_spot_early,2
soph_Guard,AST,bottom_bottom_medium_home_sixth_early,2
soph_Guard,AST,bottom_bottom_medium_home_sixth_last20,2
soph_Guard,AST,bottom_bottom_medium_home_spot_early,2
soph_Guard,AST,bottom_bottom_medium_home_spot_last20,2
soph_Guard,AST,bottom_bottom_slow_away_spot_last20,2
soph_Guard,AST,bottom_bottom_slow_home_spot_early,2
soph_Guard,AST,bottom_top_fast_home_sixth_early,2
soph_Guard,AST,bottom_top_fast_home_spot_early,2
soph_Guard,AST,bottom_top_slow_away_sixth_early,1
soph_Guard,AST,high_mid_fast_home_sixth_early,2
soph_Guard,AST,high_mid_fast_home_spot_early,2
soph_Guard,AST,high_mid_medium_away_spot_early,2
soph_Guard,AST,high_mid_medium_away_starter_early,2
soph_Guard,AST,high_mid_medium_home_spot_last20,2
soph_Guard,AST,high_top_fast_away_sixth_early,2
soph_Guard,AST,high_top_fast_away_spot_early,2
soph_Guard,AST,high_top_medium_home_sixth_early,2
soph_Guard,AST,high_top_slow_away_sixth_last20,2
soph_Guard,AST,high_top_slow_away_spot_early,2
soph_Guard,AST,high_top_slow_home_sixth_early,2
soph_Guard,AST,high_top_slow_home_sixth_last20,2
soph_Guard,AST,high_top_slow_home_spot_early,2
soph_Guard,AST,mid_bottom_fast_away_sixth_last20,2
soph_Guard,AST,mid_bottom_fast_away_spot_last20,2
soph_Guard,AST,mid_bottom_fast_home_sixth_early,2
soph_Guard,AST,mid_bottom_fast_home_sixth_last20,2
soph_Guard,AST,mid_bottom_medium_away_sixth_early,1
soph_Guard,AST,mid_bottom_medium_away_starter_early,2
soph_Guard,AST,mid_bottom_slow_away_spot_early,2
soph_Guard,AST,mid_bottom_slow_home_spot_early,2
soph_Guard,AST,mid_mid_fast_home_sixth_early,2
soph_Guard,AST,mid_mid_medium_away_spot_early,2
soph_Guard,AST,top_mid_fast_home_sixth_early,2
soph_Guard,AST,top_mid_medium_away_sixth_early,2
soph_Guard,AST,top_top_fast_away_sixth_early,2
soph_Guard,AST,top_top_fast_home_sixth_early,2
soph_Guard,AST,top_top_fast_home_spot_early,2
soph_Guard,AST,top_top_fast_home_starter_early,2
soph_Guard,AST,top_top_medium_away_sixth_early,1
soph_Guard,AST,top_top_medium_away_spot_early,2
soph_Guard,AST,top_top_medium_away_spot_last20,2
soph_Guard,AST,top_top_medium_away_starter_early,2
soph_Guard,AST,top_top_medium_home_sixth_early,2
soph_Guard,AST,top_top_medium_home_sixth_last20,2
soph_Guard,AST,top_top_medium_home_spot_early,2
soph_Guard,AST,top_top_medium_home_spot_last20,2
soph_Guard,AST,top_top_medium_home_starter_early,1
soph_Guard,AST,top_top_medium_home_starter_last20,2
soph_Guard,AST,top_top_slow_away_sixth_early,2
soph_Guard,AST,top_top_slow_away_sixth_last20,2
soph_Guard,AST,top_top_slow_away_spot_early,2
soph_Guard,AST,top_top_slow_away_starter_early,2
soph_Guard,AST,top_top_slow_home_sixth_early,2
soph_Guard,AST,top_top_slow_home_sixth_last20,2
soph_Guard,AST,top_top_slow_home_spot_early,2
soph_Guard,AST,top_top_slow_home_spot_last20,2
soph_Guard,AST,top_top_slow_home_starter_early,2
soph_Guard,AST,top_top_slow_home_starter_post_AS,2
vet_Center,PTS,high_top_slow_home_sixth_last20,2
vet_Center,PTS,mid_bottom_fast_away_sixth_last20,2
vet_Center,PTS,mid_bottom_slow_away_sixth_early,2
vet_Center,PTS,mid_bottom_slow_home_starter_early,1
vet_Center,PTS,top_top_medium_away_sixth_early,2
vet_Center,PTS,top_top_medium_home_sixth_early,2
vet_Center,PTS,top_top_slow_away_sixth_early,2
vet_Center,PTS,top_top_slow_away_sixth_last20,2
vet_Center,PTS,top_top_slow_home_sixth_last20,1
vet_Center,REB,high_top_slow_home_sixth_last20,2
vet_Center,REB,mid_bottom_fast_away_sixth_last20,2
vet_Center,REB,mid_bottom_slow_away_sixth_early,2
vet_Center,REB,mid_bottom_slow_home_starter_early,2
vet_Center,REB,top_top_medium_away_sixth_early,2
vet_Center,REB,top_top_medium_home_sixth_early,2
vet_Center,REB,top_top_slow_away_sixth_early,1
vet_Center,REB,top_top_slow_away_sixth_last20,1
vet_Center,REB,top_top_slow_home_sixth_last20,2
vet_Center,AST,high_top_slow_home_sixth_last20,2
vet_Center,AST,mid_bottom_fast_away_sixth_last20,2
vet_Center,AST,mid_bottom_slow_away_sixth_early,2
vet_Center,AST,mid_bottom_slow_home_starter_early,1
vet_Center,AST,top_top_medium_away_sixth_early,2
vet_Center,AST,top_top_medium_home_sixth_early,1
vet_Center,AST,top_top_slow_away_sixth_early,2
vet_Center,AST,top_top_slow_away_sixth_last20,2
vet_Center,AST,top_top_slow_home_sixth_last20,1
vet_Forward,PTS,bottom_bottom_fast_away_sixth_early,2
vet_Forward,PTS,bottom_bottom_fast_away_sixth_last20,2
vet_Forward,PTS,bottom_bottom_fast_away_starter_early,2
vet_Forward,PTS,bottom_bottom_fast_away_starter_last20,2
